channel,n_samples,power_law_alpha,fit_r2
x_angle_1,6000,1.8231934555410578,0.9801949427176935
y_angle_1,6000,1.8137565044914608,0.9835986794526769
z_angle_1,6000,1.8031242957905893,0.9868073933824176
