train_loss,validation_loss
0.9387219383798796,1.0788399
0.5436901496402149,0.42676094
0.20092934986640668,0.1285589
0.09523954011242965,0.053227257
0.06225052745691661,0.025542246
0.051880559016918314,0.023583932
0.048461554250840484,0.020828651
0.0463429964308081,0.020229742
0.045381313125635016,0.019694963
0.044226548409667506,0.020877192
0.04358199970989392,0.018914567
0.04286910786197103,0.01857361
0.04232563695003246,0.018833518
0.04184900750887805,0.01752861
0.04142104860009818,0.018047567
0.04106742785922412,0.017529087
0.04060554196094644,0.017410953
0.040258785131676446,0.017325316
0.04012475599502695,0.017120853
0.039790743769242846,0.0167408
